"BigMac"	"Bread"	"WorkHrs"	"VacDays"	"BusFare"	"Service"	"TeachSal"	"TeachTax"	"EngSal"	"EngTax"
"Amsterdam"	31	9	1714	31.9	1.27	280	21800	28.2	44300	44.1
"Athens"	33	9	1792	23.5	0.27	170	9400	14.8	19400	23.7
"Bogota"	98	23	2152	17.4	0.09	100	2200	4.3	15400	20.3
"Bombay"	131	27	2052	30.6	0.09	70	1100	11.7	4700	37.6
"Brussels"	31	12	1708	24.6	1.11	250	22700	38.2	49800	50.7
"Buenos Aires"	105	26	1971	16.2	0.24	210	2300	17	15000	18.5
"Caracas"	103	75	2041	21.1	0.2	250	2500	6.5	5300	6.1
"Chicago"	18	18	1924	11.8	1.13	260	33300	27.5	56500	33.1
"Copenhagen"	39	4	1717	25	2.46	330	29100	39.5	54300	44.8
"Dublin"	29	12	1759	22.9	1.18	260	23300	22.9	43400	39.5
"Dusseldorf"	22	12	1693	29.6	1.49	280	32700	18.9	64600	32.8
"Frankfort"	22	13	1650	30.1	1.37	290	35700	27.7	51500	41.8
"Geneva"	21	10	1880	22.7	1.21	350	58000	25.4	64300	28.1
"Helsinki"	40	27	1667	28.6	1.8	410	31600	33.5	42600	38.5
"Hong Kong"	24	14	2375	10.9	0.77	230	21100	11.7	18300	8.7
"Houston"	27	10	1978	9	0.85	260	18800	21.5	29500	23.1
"Jakarta"	NA	NA	NA	NA	0.11	120	900	16.3	4900	7.5
"Johannesburg"	35	7	1945	19.4	1	160	12400	23	24200	32
"Kuala Lumpur"	57	40	2167	17.6	0.23	110	4300	7.9	12100	17.9
"Lagos"	130	216	1786	22.8	0.7	100	700	4.7	1900	13.3
"Lisbon"	NA	23	1742	22	0.98	180	10100	19.5	20200	33
"London"	36	11	1737	24.5	1.85	310	26900	21.7	24400	20.8
"Los Angeles"	20	15	2068	10	1.1	300	37000	20.3	60000	40.6
"Luxembourg"	20	9	1768	29.5	0.84	220	44900	19.6	68300	28.1
"Madrid"	54	10	1710	32	1.06	330	23600	24	36900	28
"Manila"	165	86	2268	16.9	0.3	90	2000	13.5	3500	15.5
"Mexico City"	235	37	1944	10.1	0.09	160	2100	4.7	3800	8.4
"Milan"	33	17	1773	24.6	0.77	300	19700	25.1	39900	29.7
"Montreal"	21	10	1827	17.2	1.25	250	31100	32.2	33600	33.9
"Nairobi"	82	31	1958	28.5	0.2	120	1600	7.9	4300	8.9
"New York"	26	22	1942	12.2	1.15	270	32500	23.4	48000	27
"Nicosia"	40	8	1825	20.3	0.51	140	15000	19.3	20300	23.6
"Oslo"	43	12	1583	31.4	1.88	350	21000	35	26900	37
"Palma"	66	50	2078	28.6	0.2	220	5000	15.3	12100	22.3
"Paris"	39	18	1744	27	0.82	290	21000	22.3	38800	27.2
"Rio de Janeiro"	79	30	1749	26.5	0.24	220	2000	5.9	9500	19.5
"Sao Paulo"	106	32	1856	30.7	0.37	220	4500	20.7	9200	22.7
"Seoul"	30	18	1842	23.8	0.59	150	15400	7.9	18800	7.9
"Singapore"	70	39	2042	18.9	0.52	150	9700	25.7	23400	29
"Stockholm"	61	40	1805	27.8	2.66	440	28100	55	26300	55
"Sydney"	18	12	1668	22.4	2.06	220	23100	24.5	27200	27.1
"Taipei"	34	16	2145	17.7	0.33	330	13000	9.8	24200	11.6
"Tel Aviv"	33	9	2015	18.7	0.73	230	9100	10.1	17600	13.1
"Tokyo"	21	14	1880	24	1.32	410	32000	17.4	34900	16.9
"Toronto"	20	10	1888	12.2	0.99	260	35000	30.6	45500	31.6
"Vienna"	30	12	1780	26.8	1.38	310	20700	25.7	49500	32.4
"Zurich"	20	9	1868	24	1.88	390	57800	22.4	71700	27.5
